"Date","Campaign ID","Campaign name","Budget currency","Impressions","Clicks","Supply cost"
"December 9, 2024","477131815989610","B0CV4M7TK2 - Dog Car Seat - Med - br","USD","0","0","0"
"December 1, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","8","0","0"
"December 2, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","6","0","0"
"December 3, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","10","1","0.5"
"December 4, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","3","0","0"
"December 5, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","12","1","0.5"
"December 6, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","2","1","0.5"
"December 7, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","14","0","0"
"December 8, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","1","0","0"
"December 9, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","11","1","0.5"
"December 10, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","0","0","0"
"December 11, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","19","1","0.5"
"December 12, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","5","0","0"
"December 13, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","20","0","0"
"December 14, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","4","0","0"
"December 15, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","15","0","0"
"December 16, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","9","0","0"
"December 17, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","18","1","0.5"
"December 18, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","10","0","0"
"December 19, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","12","1","0.5"
"December 20, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","3","0","0"
"December 21, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","12","1","0.5"
"December 22, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","7","0","0"
"December 23, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","13","0","0"
"December 24, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","5","1","0.5"
"December 25, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","7","0","0"
"December 26, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","6","0","0"
"December 27, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","8","1","0.49"
"December 28, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","3","0","0"
"December 29, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","8","1","0.49"
"December 30, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","2","0","0"
"December 31, 2024","516167023177245","B0CV4M7TK2 - Dog Car Seat - Low - dog","USD","8","0","0"
"December 2, 2024","459510910770649","B0CV4M7TK2 - Dog Car Seat - SB - Video - Store","USD","0","0","0"
"December 1, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 2, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 3, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 4, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 5, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","1","0.52"
"December 6, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 7, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 8, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 9, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 10, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 11, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 12, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 13, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 14, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 15, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","1","0.52"
"December 16, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 17, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 18, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 19, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 20, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 21, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 22, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 23, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 24, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 25, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 26, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 27, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 28, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 29, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 30, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","1","0","0"
"December 31, 2024","521567065624046","B0CV4M7TK2 - Dog Car Seat - Low - Other","USD","0","0","0"
"December 2, 2024","535311018808029","B0CV4M7TK2 - Dog Car Seat - SD - PDA","USD","3628","9","7.38"
"December 3, 2024","535311018808029","B0CV4M7TK2 - Dog Car Seat - SD - PDA","USD","3624","5","4.12"
"December 4, 2024","535311018808029","B0CV4M7TK2 - Dog Car Seat - SD - PDA","USD","3701","9","7.38"
"December 5, 2024","535311018808029","B0CV4M7TK2 - Dog Car Seat - SD - PDA","USD","3589","8","6.56"
"December 6, 2024","535311018808029","B0CV4M7TK2 - Dog Car Seat - SD - PDA","USD","3699","10","8.2"
"December 7, 2024","535311018808029","B0CV4M7TK2 - Dog Car Seat - SD - PDA","USD","3628","1","0.82"
"December 8, 2024","535311018808029","B0CV4M7TK2 - Dog Car Seat - SD - PDA","USD","3793","6","4.92"
"December 9, 2024","535311018808029","B0CV4M7TK2 - Dog Car Seat - SD - PDA","USD","3369","4","3.28"
"December 3, 2024","486370468446322","B0CV4M7TK2 - Dog Car Seat - Med - Phrase - UD","USD","0","0","0"
"December 3, 2024","546173706483936","B0CV4M7TK2 - Dog Car Seat - PDA - Won - exp","USD","411","10","7.19"
"December 4, 2024","546173706483936","B0CV4M7TK2 - Dog Car Seat - PDA - Won - exp","USD","389","7","4.97"
"December 5, 2024","546173706483936","B0CV4M7TK2 - Dog Car Seat - PDA - Won - exp","USD","236","4","2.84"
"December 1, 2024","400768130291706","B0CV4M7TK2 - Dog Car Seat - Auto - low bids","USD","3110","80","38.6"
