"Date","Campaign ID","Campaign name","Budget currency","Impressions","Clicks","Supply cost"
"July 1, 2024","511193444289432","Car Seat TOP","USD","88","2","2.68"
"July 2, 2024","511193444289432","Car Seat TOP","USD","95","1","1.34"
"July 3, 2024","511193444289432","Car Seat TOP","USD","91","1","1.34"
"July 4, 2024","511193444289432","Car Seat TOP","USD","88","0","0"
"July 5, 2024","511193444289432","Car Seat TOP","USD","82","2","2.76"
"July 6, 2024","511193444289432","Car Seat TOP","USD","76","0","0"
"July 7, 2024","511193444289432","Car Seat TOP","USD","69","1","1.34"
"July 8, 2024","511193444289432","Car Seat TOP","USD","90","2","2.68"
"July 9, 2024","511193444289432","Car Seat TOP","USD","82","1","1.34"
"July 10, 2024","511193444289432","Car Seat TOP","USD","79","0","0"
"July 11, 2024","511193444289432","Car Seat TOP","USD","79","3","4.07"
"July 12, 2024","511193444289432","Car Seat TOP","USD","95","0","0"
"July 13, 2024","511193444289432","Car Seat TOP","USD","84","1","1.38"
"July 14, 2024","511193444289432","Car Seat TOP","USD","79","1","1.36"
"July 15, 2024","511193444289432","Car Seat TOP","USD","86","1","1.34"
"July 16, 2024","511193444289432","Car Seat TOP","USD","90","1","1.34"
"July 17, 2024","511193444289432","Car Seat TOP","USD","79","0","0"
"July 18, 2024","511193444289432","Car Seat TOP","USD","77","1","1.34"
"July 19, 2024","511193444289432","Car Seat TOP","USD","71","0","0"
"July 20, 2024","511193444289432","Car Seat TOP","USD","70","1","1.34"
"July 21, 2024","511193444289432","Car Seat TOP","USD","79","2","2.68"
"July 22, 2024","511193444289432","Car Seat TOP","USD","86","1","1.34"
"July 23, 2024","511193444289432","Car Seat TOP","USD","70","0","0"
"July 24, 2024","511193444289432","Car Seat TOP","USD","89","0","0"
"July 25, 2024","511193444289432","Car Seat TOP","USD","71","2","2.68"
"July 26, 2024","511193444289432","Car Seat TOP","USD","86","1","1.34"
"July 3, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.67"
"July 4, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","285","3","3.66"
"July 5, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","280","4","4.9"
"July 6, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","279","3","3.66"
"July 7, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.66"
"July 8, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","276","3","3.66"
"July 9, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","4","4.88"
"July 10, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","250","3","3.67"
"July 11, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.66"
"July 12, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","280","5","6.1"
"July 13, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","316","3","3.97"
"July 14, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","282","4","4.89"
"July 15, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.69"
"July 16, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","281","3","3.66"
"July 17, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","314","3","3.66"
"July 18, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","290","5","6.5"
"July 19, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","291","3","3.66"
"July 20, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.66"
"July 21, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","278","4","4.88"
"July 22, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.67"
"July 23, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","285","3","3.66"
"July 24, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.66"
"July 25, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","269","3","3.66"
"July 26, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","4","4.88"
"July 27, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.66"
"July 28, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","289","3","3.66"
"July 29, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","4","4.88"
"July 30, 2024","379769794098050","Car Seat Auto Coupons (down)","USD","284","3","3.66"
"July 25, 2024","326335967017365","Car Seat Spons","USD","520","8","11.4"
"July 3, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","145","0","0"
"July 4, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","146","0","0"
"July 5, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","145","0","0"
"July 6, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","148","1","1.36"
"July 7, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","138","0","0"
"July 8, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","150","0","0"
"July 9, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","142","1","1.36"
"July 10, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","151","0","0"
"July 11, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","132","0","0"
"July 12, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","152","0","0"
"July 13, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","135","1","1.36"
"July 14, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","156","0","0"
"July 15, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","137","0","0"
"July 16, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","159","0","0"
"July 17, 2024","507602442836297","Campaign with presets - B0CV4N6WJR - 7/3/2024 01:23:29","USD","139","1","1.36"
