date/time,type,order id,sku,description,quantity,order city,order state,product sales,selling fees,fba fees
"February 1, 2024",Order,401-9519778-9354405,03-ZPPH-X7CL,Car Seat for Dog-Brown,1,San Francisco,CA,54.9,-8.24,-12.65
"February 1, 2024",Order,495-4375576-3803865,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Jacksonville,FL,54.9,-8.24,-12.27
"February 1, 2024",Order,395-9262385-4600808,32-IQYL-UHAB,Car Seat for Dog-Black,1,Rochester,NY,54.9,-8.24,-8.15
"February 1, 2024",Order,875-6819657-5488470,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,New York,NY,54.9,-8.24,-11.5
"February 1, 2024",Order,203-4834603-9523057,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Chicago,IL,54.9,-8.24,-11.5
"February 1, 2024",Order,299-7840370-1980291,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,New York,NY,54.9,-8.24,-12.27
"February 1, 2024",Order,386-9055529-6130423,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Los Angeles,CA,54.9,-8.24,-11.5
"February 2, 2024",Order,446-3955454-4040093,32-IQYL-UHAB,Car Seat for Dog-Black,1,New York,NY,54.9,-8.24,-8.15
"February 2, 2024",Order,616-6469483-9866448,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Rochester,NY,54.9,-8.24,-12.27
"February 2, 2024",Order,422-9283426-9059891,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65
"February 2, 2024",Order,190-1839381-3887084,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Houston,TX,54.9,-8.24,-12.27
"February 2, 2024",Order,415-8084423-6496903,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Los Angeles,CA,54.9,-8.24,-11.5
"February 2, 2024",Order,186-4766658-5700515,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Denver,CO,54.9,-8.24,-12.27
"February 2, 2024",Order,630-7363204-1387969,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Houston,TX,54.9,-8.24,-11.5
"February 2, 2024",Order,246-1688250-6821722,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Chicago,IL,54.9,-8.24,-11.5
"February 2, 2024",Order,375-9885666-1834943,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,San Francisco,CA,54.9,-8.24,-12.65
"February 3, 2024",Order,837-5061109-2574730,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Dallas,TX,54.9,-8.24,-12.27
"February 3, 2024",Order,214-6911662-3112250,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Seattle,WA,54.9,-8.24,-12.27
"February 3, 2024",Order,735-9853902-8979002,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Orlando,FL,54.9,-8.24,-12.27
"February 3, 2024",Order,747-6077984-3233448,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Miami,FL,54.9,-8.24,-11.5
"February 3, 2024",Order,545-5605243-1335311,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Dallas,TX,54.9,-8.24,-11.5
"February 3, 2024",Order,512-2740695-7265915,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Denver,CO,54.9,-8.24,-11.5
"February 3, 2024",Order,923-9512002-1510256,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Miami,FL,54.9,-8.24,-12.27
"February 3, 2024",Order,693-3381132-4628380,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Tucson,AZ,54.9,-8.24,-12.65
"February 3, 2024",Order,399-3680458-3610611,03-ZPPH-X7CL,Car Seat for Dog-Brown,1,Dallas,TX,54.9,-8.24,-12.65
"February 3, 2024",Order,715-3435104-5525751,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Chicago,IL,54.9,-8.24,-11.5
"February 3, 2024",Order,650-1162711-3224279,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Rochester,NY,54.9,-8.24,-12.65
"February 3, 2024",Order,897-8246983-8084669,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Dallas,TX,54.9,-8.24,-11.5
"February 3, 2024",Order,201-8898107-1627706,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Naperville,IL,54.9,-8.24,-12.27
"February 3, 2024",Order,701-3341678-9899373,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Houston,TX,54.9,-8.24,-12.65
"February 3, 2024",Order,770-6979702-8950956,32-IQYL-UHAB,Car Seat for Dog-Black,1,San Antonio,TX,54.9,-8.24,-8.15
"February 4, 2024",Order,675-7001495-3661859,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,San Jose,CA,54.9,-8.24,-11.5
"February 4, 2024",Order,844-6809213-5252870,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Colorado Springs,CO,54.9,-8.24,-12.27
"February 4, 2024",Order,545-7961458-7313321,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Chicago,IL,54.9,-8.24,-12.65
"February 4, 2024",Refund,549-8605274-1182310,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Houston,TX,-54.9,8.24,0
"February 5, 2024",Order,343-9707304-3422185,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Rochester,NY,54.9,-8.24,-11.5
"February 5, 2024",Order,758-9177875-6720771,32-IQYL-UHAB,Car Seat for Dog-Black,1,San Diego,CA,54.9,-8.24,-8.15
"February 5, 2024",Order,314-7429677-3931170,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Houston,TX,54.9,-8.24,-12.65
"February 5, 2024",Order,436-5113308-8739420,32-IQYL-UHAB,Car Seat for Dog-Black,1,Austin,TX,54.9,-8.24,-8.15
"February 5, 2024",Order,298-8247609-8392115,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,San Diego,CA,54.9,-8.24,-12.65
"February 5, 2024",Refund,354-7356039-1067259,8O-DXOB-HH5A,Car Seat for Dog-Rainbow,1,Orlando,FL,-54.9,8.24,0
"February 6, 2024",Order,228-3514589-1200358,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Los Angeles,CA,54.9,-8.24,-12.65
"February 6, 2024",Order,287-8697339-7325303,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Phoenix,AZ,54.9,-8.24,-12.27
"February 6, 2024",Order,637-2773940-5271283,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Austin,TX,54.9,-8.24,-11.5
"February 6, 2024",Order,333-7556408-1089322,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Dallas,TX,54.9,-8.24,-12.27
"February 6, 2024",Order,283-6745784-5012275,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Orlando,FL,54.9,-8.24,-11.5
"February 6, 2024",Order,484-1361938-9608696,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Houston,TX,54.9,-8.24,-11.5
"February 6, 2024",Order,294-9456210-2295550,II-1JLZ-7YG6,Car Seat for Dog-Beige,1,Phoenix,AZ,54.9,-8.24,-11.5
"February 6, 2024",Order,496-2504670-2586972,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Jacksonville,FL,54.9,-8.24,-12.27
"February 6, 2024",Order,112-1349822-6234620,WS-L9LR-FMUA,Car Seat for Dog-Grey,1,Chicago,IL,54.9,-8.24,-12.65
"February 6, 2024",Order,675-6340526-9970580,OT-T2IP-D9BI,Car Seat for Dog-Pink,1,Colorado Springs,CO,54.9,-8.24,-12.27
"February 6, 2024",Order,815-7635121-7527831,32-IQYL-UHAB,Car Seat for Dog-Black,1,Miami,FL,54.9,-8.24,-8.15
