Day,"Campaign ID","Campaign name",Impressions,"Link clicks","Amount spent (USD)","Reporting starts","Reporting ends"
2025-12-31,120211636986650312,"FB catalog",0,,0,2025-12-31,2025-12-31
2025-12-31,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-31,2025-12-31
2025-12-31,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-31,2025-12-31
2025-12-30,120211636986650312,"FB catalog",0,,0,2025-12-30,2025-12-30
2025-12-30,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-30,2025-12-30
2025-12-30,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-30,2025-12-30
2025-12-29,120211636986650312,"FB catalog",0,,0,2025-12-29,2025-12-29
2025-12-29,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-29,2025-12-29
2025-12-29,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-29,2025-12-29
2025-12-28,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-28,2025-12-28
2025-12-28,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-28,2025-12-28
2025-12-28,120211636986650312,"FB catalog",0,,0,2025-12-28,2025-12-28
2025-12-27,120211636986650312,"FB catalog",0,,0,2025-12-27,2025-12-27
2025-12-27,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-27,2025-12-27
2025-12-27,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-27,2025-12-27
2025-12-26,120211636986650312,"FB catalog",0,,0,2025-12-26,2025-12-26
2025-12-26,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-26,2025-12-26
2025-12-26,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-26,2025-12-26
2025-12-25,120211636986650312,"FB catalog",0,,0,2025-12-25,2025-12-25
2025-12-25,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-25,2025-12-25
2025-12-25,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-25,2025-12-25
2025-12-24,120211636986650312,"FB catalog",0,,0,2025-12-24,2025-12-24
2025-12-24,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-24,2025-12-24
2025-12-24,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-24,2025-12-24
2025-12-23,120219386724380312,"Traffic Video-post FB-Insta",0,,0,2025-12-23,2025-12-23
2025-12-23,120211848833150312,"Traffic Video FB-Insta with recommended settings",0,,0,2025-12-23,2025-12-23
2025-12-23,120211636986650312,"FB catalog",0,,0,2025-12-23,2025-12-23
2025-12-22,120211636986650312,"FB catalog",0,,0,2025-12-22,2025-12-22
